会议名称,简称,CCF等级,CORE等级,CCF领域,数据来源,匹配依据,CORE名称别名
AAAI Conference on Artificial Intelligence,AAAI,A,A*,人工智能,CCF2026|CORE2026,简称唯一匹配,National Conference of the American Association for Artificial Intelligence
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,,B,,CORE2026,仅CORE收录,
"AAAI/ACM Conference on AI, Ethics, and Society",AIES,,C,,CORE2026,仅CORE收录,
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,,C,,CORE2026,仅CORE收录,
ACM Asia Conference on Computer and Communications Security,AsiaCCS,C,A,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,"Asia Conference on Information, Computer and Communications Security"
ACM Conference on Computer and Communications Security,CCS,A,A*,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
ACM Conference On Computer-Supported Cooperative Work And Social Computing,CSCW,A,A,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,ACM Conference on Computer Supported Cooperative Work
ACM Conference on Economics and Computation,EC,,A*,,CORE2026,仅CORE收录,
ACM Conference on Embedded Networked Sensor Systems,SenSys,B,unranked: merged,计算机网络,CCF2026|CORE2026,标题精确匹配,
ACM Conference on Human Factors in Computing Systems,CHI,A,A*,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,International Conference on Human Factors in Computing Systems
ACM Conference on Learning @ Scale,L@S,,B,,CORE2026,仅CORE收录,
ACM Conference on Recommender Systems,RecSys,B,A,数据库/数据挖掘/内容检索,CCF2026|CORE2026,简称唯一匹配,ACM International Conference on Recommender Systems
ACM Conference on Security and Privacy in Wireless and Mobile Networks,WiSec,C,B,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
ACM Information Technology Education,SIGITE,,National: USA,,CORE2026,仅CORE收录,
ACM Interaction Design and Children,IDC,C,,人机交互与普适计算,CCF2026,仅CCF收录,
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,,C,,CORE2026,仅CORE收录,
"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A,A*,计算机网络,CCF2026|CORE2026,简称唯一匹配,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication"
ACM International Conference on Computing Frontiers,CF,C,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,B,A,计算机网络,CCF2026|CORE2026,标题精确匹配,
ACM International Conference on Information and Knowledge Management,CIKM,B,A,数据库/数据挖掘/内容检索,CCF2026|CORE2026,标题精确匹配,
ACM International Conference on Intelligent User Interfaces,IUI,B,A,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,International Conference on Intelligent User Interfaces
ACM International Conference on Interactive Media Experiences,IMX,,C,,CORE2026,仅CORE收录,
ACM International Conference on Interactive Surfaces and Spaces,ISS,B,Journal Published,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop)
ACM International Conference on Knowledge Discovery and Data Mining,KDD,,A*,,CORE2026,仅CORE收录,
