期刊名称,简称,CCF等级,CCF领域,中科院大类,中科院大类分区,中科院 Top,WOS索引,中科院小类分区,特殊标注,数据来源,JCR类别,JCR影响因子2024,JCR分区2024
3c Tecnologia,,,,工程技术,4区,否,ESCI,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [114/179]",,中科院2025,,,
3C Tic,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [118/143]",,中科院2025|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",0.1,Q4
3D Printing and Additive Manufacturing,,,,工程技术,4区,否,SCIE,"ENGINEERING, MANUFACTURING 工程：制造::4区 [60/70] | MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::4区 [324/436]",,中科院2025,,,
AATCC Journal of Research,,,,工程技术,4区,否,SCIE,"MATERIALS SCIENCE, TEXTILES 材料科学：纺织::4区 [24/30]",,中科院2025,,,
AATCC REVIEW,,,,工程技术,4区,否,SCIE,"CHEMISTRY, APPLIED 应用化学::4区 [65/74] | ENGINEERING, CHEMICAL 工程：化工::4区 [151/169] | MATERIALS SCIENCE, TEXTILES 材料科学：纺织::4区 [26/30]",,中科院2025,,,
ACCIDENT ANALYSIS AND PREVENTION,,,,工程技术,1区,是,SSCI,"ERGONOMICS 人体工程学::1区 [1/24] | PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生::1区 [13/404] | SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域::1区 [3/263] | TRANSPORTATION 交通运输::2区 [5/58]",,中科院2025,,,
ACCREDITATION AND QUALITY ASSURANCE,,,,工程技术,4区,否,SCIE,"CHEMISTRY, ANALYTICAL 分析化学::4区 [70/106] | INSTRUMENTS & INSTRUMENTATION 仪器仪表::4区 [46/76]",,中科院2025,,,
ACI MATERIALS JOURNAL,,,,工程技术,4区,否,SCIE,"CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::4区 [72/91] | MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::4区 [361/436]",,中科院2025,,,
ACI STRUCTURAL JOURNAL,,,,工程技术,4区,否,SCIE,"CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::4区 [55/91] | ENGINEERING, CIVIL 工程：土木::4区 [119/180] | MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::4区 [322/436]",,中科院2025,,,
ACM COMPUTING SURVEYS,,,,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::1区 [1/143]",,中科院2025|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(SCIE)",28,Q1
ACM Distributed Ledger Technologies: Research and Practice,ACM DLT,C,交叉/综合/新兴,,,,,,,CCF2026,,,
ACM Journal of Data and Information Quality,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [160/249]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",2.9,Q2
ACM Journal on Autonomous Transportation Systems,JATS,C,人工智能,,,,,,,CCF2026,,,
ACM Journal on Computing and Cultural Heritage,,,,计算机科学,3区,否,AHCISCIE,"HUMANITIES, MULTIDISCIPLINARY 人文科学::2区 [40/406] | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::4区 [82/172]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);HUMANITIES, MULTIDISCIPLINARY(AHCI)",2.2,Q3
ACM Journal on Emerging Technologies in Computing Systems,JETC,C,计算机体系结构/并行与分布计算/存储系统,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件::4区 [44/58] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [197/352] | NANOSCIENCE & NANOTECHNOLOGY 纳米科技::4区 [83/139]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",2.6,Q2
ACM SIGCOMM Computer Communication Review,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [184/249]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",2.8,Q2
ACM SIGecom Exchanges,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::4区 [146/172]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",0.4,Q4
ACM Transactions in Quantum Computing,TQC,C,计算机科学理论,,,,,,,CCF2026,,,
ACM Transactions on Accessible Computing,,,,计算机科学,2区,否,ESCI,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::2区 [31/172]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",3.5,Q2
ACM Transactions on Algorithms,TALG,B,计算机科学理论,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::3区 [44/143] | MATHEMATICS, APPLIED 应用数学::3区 [87/330]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);MATHEMATICS, APPLIED(SCIE)",1.4,Q2
ACM Transactions on Applied Perception,TAP,B,人工智能,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::3区 [55/131]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",2.1,Q3
ACM Transactions on Architecture and Code Optimization,TACO,A,计算机体系结构/并行与分布计算/存储系统,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件::3区 [26/58] | COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::3区 [43/143]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",1.8,Q2
ACM Transactions on Asian and Low-Resource Language Information Processing,TALLIP,C,人工智能,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [113/196]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",2,Q3
ACM Transactions on Autonomous and Adaptive Systems,TAAS,B,计算机体系结构/并行与分布计算/存储系统,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::3区 [60/143] | COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [98/196] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [115/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",2.1,Q2
ACM Transactions on Computation Theory,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::3区 [58/143]",,中科院2025|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",0.8,Q4
ACM Transactions on Computational Logic,TOCL,B,计算机科学理论,,,,,,,CCF2026|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);LOGIC(SCIE)",0.9,Q1
ACM TRANSACTIONS ON COMPUTER SYSTEMS,TOCS,A,计算机体系结构/并行与分布计算/存储系统,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::3区 [62/143]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(SCIE)",1.8,Q2
ACM Transactions on Computer-Human Interaction,TOCHI,A,人机交互与普适计算,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::1区 [11/249] | COMPUTER SCIENCE, CYBERNETICS 计算机：控制论::2区 [3/32]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, CYBERNETICS(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",6.6,Q1
ACM Transactions on Computing Education,TOCE,C,交叉/综合/新兴,,,,,,,CCF2026,,,
ACM Transactions on Computing for Healthcare,HEALTH,C,交叉/综合/新兴,,,,,,,CCF2026|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI);MEDICAL INFORMATICS(ESCI)",8,Q1
ACM Transactions on Cyber-Physical Systems,TCPS,C,交叉/综合/新兴,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::4区 [113/172]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",2.9,Q3
ACM TRANSACTIONS ON DATABASE SYSTEMS,TODS,A,数据库/数据挖掘/内容检索,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::1区 [9/131] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::2区 [25/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",1.7,Q3
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,TODAES,B,计算机体系结构/并行与分布计算/存储系统,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件::4区 [33/58] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [67/131]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",2,Q3
ACM Transactions on Economics and Computation,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::4区 [88/172]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",0.9,Q4
ACM Transactions on Embedded Computing Systems,TECS,B,计算机体系结构/并行与分布计算/存储系统,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件::3区 [21/58] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::3区 [40/131]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",2.6,Q2
ACM Transactions on Evolutionary Learning and Optimization,TELO,C,人工智能,,,,,,,CCF2026,,,
ACM TRANSACTIONS ON GRAPHICS,TOG,A,计算机图形学与多媒体,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::1区 [3/131]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",9.5,Q1
ACM Transactions on Human-Robot Interaction,THRI,C,人机交互与普适计算,计算机科学,2区,否,ESCI,ROBOTICS 机器人学::2区 [7/47],,中科院2025|CCF2026|JCR2024,ROBOTICS(ESCI),5.5,Q1
ACM TRANSACTIONS ON INFORMATION SYSTEMS,TOIS,A,数据库/数据挖掘/内容检索,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::1区 [17/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",9.1,Q1
ACM Transactions on Intelligent Systems and Technology,TIST,C,数据库/数据挖掘/内容检索,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::3区 [72/196] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::3区 [87/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",6.6,Q1
ACM Transactions on Interactive Intelligent Systems,TIIS,C,人工智能,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [104/196]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",4.8,Q2
